Z 	 100 	 Algorithm1 	0.014433	
Z 	 100 	 Algorithm1 	0.013895	
Z 	 100 	 Algorithm1 	0.013759	
Z 	 100 	 Algorithm1 	0.013844	
Z 	 100 	 Algorithm1 	0.014027	
Z 	 100 	 Algorithm2 	0.093252	
Z 	 100 	 Algorithm2 	0.099037	
Z 	 100 	 Algorithm2 	0.096162	
Z 	 100 	 Algorithm2 	0.097381	
Z 	 100 	 Algorithm2 	0.099237	
Z 	 100 	 Algorithm3 	0.027265	
Z 	 100 	 Algorithm3 	0.029480	
Z 	 100 	 Algorithm3 	0.027285	
Z 	 100 	 Algorithm3 	0.027165	
Z 	 100 	 Algorithm3 	0.027872	
Z 	 200 	 Algorithm1 	0.116831	
Z 	 200 	 Algorithm1 	0.116954	
Z 	 200 	 Algorithm1 	0.116322	
Z 	 200 	 Algorithm1 	0.119976	
Z 	 200 	 Algorithm1 	0.116992	
Z 	 200 	 Algorithm2 	0.746545	
Z 	 200 	 Algorithm2 	0.748121	
Z 	 200 	 Algorithm2 	0.782182	
Z 	 200 	 Algorithm2 	0.781179	
Z 	 200 	 Algorithm2 	0.759740	
Z 	 200 	 Algorithm3 	0.241614	
Z 	 200 	 Algorithm3 	0.246194	
Z 	 200 	 Algorithm3 	0.244707	
Z 	 200 	 Algorithm3 	0.253563	
Z 	 200 	 Algorithm3 	0.247080	
Z 	 300 	 Algorithm1 	0.403484	
Z 	 300 	 Algorithm1 	0.402891	
Z 	 300 	 Algorithm1 	0.423855	
Z 	 300 	 Algorithm1 	0.432097	
Z 	 300 	 Algorithm1 	0.416874	
Z 	 300 	 Algorithm2 	2.968436	
Z 	 300 	 Algorithm2 	3.042654	
Z 	 300 	 Algorithm2 	3.052826	
Z 	 300 	 Algorithm2 	3.014888	
Z 	 300 	 Algorithm2 	3.008315	
Z 	 300 	 Algorithm3 	1.260900	
Z 	 300 	 Algorithm3 	1.271725	
Z 	 300 	 Algorithm3 	1.213284	
Z 	 300 	 Algorithm3 	1.243153	
Z 	 300 	 Algorithm3 	1.268382	
